seed,problem,strategy_name,source_count,cleared_count,cleared_ratio,all_cleared,virtual_time_s,average_localize_clear_time_s,total_distance_m,measure_count,clear_count,failed_clear_count,channel_switch_count,strategy_completed,wall_time_s,analytic_plan_generated,analytic_plan_certified,analytic_plan_selected,analytic_plan_fallbacks,analytic_estimated_saving_s
18,Q4,GuaranteedDirectionalQ4Strategy,11,11,1.0,True,7013.048821838746,637.5498928944315,24890.244109193736,328,24,13,301,True,2.517001000000164,3,3,3,0,606.8966779956646
19,Q4,GuaranteedDirectionalQ4Strategy,15,15,1.0,True,6649.80060256208,443.3200401708053,26304.00301281038,215,32,17,188,True,3.4143320999864955,3,3,3,0,611.3764801168867
20,Q4,GuaranteedDirectionalQ4Strategy,15,15,1.0,True,7003.905245875769,466.9270163917179,27919.526229378847,219,35,20,190,True,3.306524799991166,2,2,2,0,349.4620452420924
21,Q4,GuaranteedDirectionalQ4Strategy,11,11,1.0,True,7786.771161419965,707.888287401815,29213.85580709984,310,29,18,285,True,2.4785887000034563,4,4,4,0,686.7928803763864
22,Q4,GuaranteedDirectionalQ4Strategy,11,11,1.0,True,6724.196029397556,611.2905481270506,25105.980146987797,278,14,3,249,True,2.9297591999929864,3,3,3,0,25.786763277760084
23,Q4,GuaranteedDirectionalQ4Strategy,16,16,1.0,True,7068.47785063383,441.77986566461436,27727.389253169134,207,90,74,186,True,3.798250099993311,6,6,6,0,1295.2836568393827
24,Q4,GuaranteedDirectionalQ4Strategy,15,15,1.0,True,8478.576277846363,565.2384185230909,32792.88138923185,271,96,81,247,True,3.426351500005694,6,6,6,0,1456.5851642941811
25,Q4,GuaranteedDirectionalQ4Strategy,13,13,1.0,True,7239.820358058089,556.9092583121608,27944.101790290457,256,38,25,231,True,2.592642200004775,6,6,6,0,666.7029282441445
26,Q4,GuaranteedDirectionalQ4Strategy,15,15,1.0,True,7741.948556836493,516.1299037890996,31959.7427841825,210,30,15,180,True,3.6712647000094876,4,4,4,0,632.3014287726743
27,Q4,GuaranteedDirectionalQ4Strategy,15,15,1.0,True,7467.405341529526,497.82702276863506,30722.0267076476,199,43,28,169,True,3.806394299987005,5,5,5,0,1265.5112998043924
28,Q4,GuaranteedDirectionalQ4Strategy,10,10,1.0,True,7461.83114014792,746.1831140147921,27389.15570073961,316,31,21,291,True,2.362172500026645,4,4,4,0,1137.9220781047648
29,Q4,GuaranteedDirectionalQ4Strategy,14,14,1.0,True,6994.214555835348,499.58675398823914,26126.072779176735,287,15,1,261,True,3.315282700001262,3,3,3,0,30.373095367111574
30,Q4,GuaranteedDirectionalQ4Strategy,14,14,1.0,True,6552.261684392911,468.01869174235077,25741.30842196455,226,15,1,201,True,3.162159600004088,3,3,3,0,15.778868239502312
31,Q4,GuaranteedDirectionalQ4Strategy,10,10,1.0,True,6489.854147281143,648.9854147281143,22884.27073640571,314,11,1,290,True,1.6977475000021514,2,2,2,0,3.780055616965903
32,Q4,GuaranteedDirectionalQ4Strategy,10,10,1.0,True,8331.066045821972,833.1066045821972,30405.33022910987,352,48,38,326,True,2.601430500013521,6,6,6,0,924.5140216088295
33,Q4,GuaranteedDirectionalQ4Strategy,14,14,1.0,True,7172.79908415708,512.3427917255057,26793.995420785413,294,16,2,268,True,2.3567464999796357,5,5,5,0,53.20525041731557
34,Q4,GuaranteedDirectionalQ4Strategy,14,14,1.0,True,7160.604042010988,511.4717172864992,26823.02021005493,290,19,5,261,True,2.758254999993369,2,2,2,0,38.95852465397958
35,Q4,GuaranteedDirectionalQ4Strategy,14,14,1.0,True,7123.642544760567,508.8316103400405,27913.212723802833,243,27,13,217,True,3.1159784000192303,1,1,1,0,601.7795933321021
36,Q4,GuaranteedDirectionalQ4Strategy,12,12,1.0,True,7559.229715206691,629.9358096005576,28461.14857603344,303,18,6,274,True,3.0977352999907453,5,5,4,0,313.51839603836964
37,Q4,GuaranteedDirectionalQ4Strategy,15,15,1.0,True,7387.592116436697,492.5061410957798,29372.960582183514,230,42,27,207,True,2.840514199982863,3,3,3,0,664.5993894357789
38,Q4,GuaranteedDirectionalQ4Strategy,15,15,1.0,True,7341.993257932436,489.46621719549574,29779.966289662123,204,54,39,174,True,3.573934999993071,4,4,4,0,940.1217436976474
39,Q4,GuaranteedDirectionalQ4Strategy,11,11,1.0,True,7137.532615256898,648.8666013869907,25747.663076284494,321,22,11,295,True,2.6487771999964025,4,4,4,0,599.3348264791712
40,Q4,GuaranteedDirectionalQ4Strategy,13,13,1.0,True,6289.049116517365,483.77300896287426,23550.245582586835,256,14,1,231,True,3.136099399998784,2,2,2,0,57.07452702420835
41,Q4,GuaranteedDirectionalQ4Strategy,13,13,1.0,True,7087.560973824456,545.1969979864966,27217.80486912227,261,26,13,235,True,3.0166486999951303,4,4,4,0,881.5180687448416
42,Q4,GuaranteedDirectionalQ4Strategy,15,15,1.0,True,6862.40686051283,457.4937907008553,27477.03430256413,218,18,3,193,True,2.9336019000038505,4,4,4,0,44.597584744689115
43,Q4,GuaranteedDirectionalQ4Strategy,10,10,1.0,True,9014.478439949167,901.4478439949168,32792.39219974585,349,124,114,319,True,2.409127399994759,7,7,7,0,2090.639282837844
44,Q4,GuaranteedDirectionalQ4Strategy,13,13,1.0,True,6596.47836558437,507.42141273725923,24862.391827921863,263,14,1,241,True,2.342942799994489,2,2,2,0,18.53169188249339
45,Q4,GuaranteedDirectionalQ4Strategy,12,12,1.0,True,6638.014105986205,553.1678421655171,24985.07052993104,268,12,0,241,True,2.773191299987957,2,2,2,0,14.829019634099957
46,Q4,GuaranteedDirectionalQ4Strategy,10,10,1.0,True,6304.579788575658,630.4579788575659,22297.89894287829,303,10,0,280,True,2.389274499990279,1,1,1,0,12.764453281553052
47,Q4,GuaranteedDirectionalQ4Strategy,12,12,1.0,True,8852.861332585699,737.7384443821416,33304.306662928546,335,63,51,304,True,3.238678499998059,10,10,9,0,1830.351854734483
48,Q4,GuaranteedDirectionalQ4Strategy,14,14,1.0,True,7344.064515957937,524.5760368541384,28075.32257978969,266,44,30,239,True,3.1938675999990664,7,7,7,0,1237.3432376571222
49,Q4,GuaranteedDirectionalQ4Strategy,10,10,1.0,True,6895.267884353374,689.5267884353374,24871.33942176687,316,10,0,291,True,2.2261683999968227,2,2,2,0,9.599190322525144
