seed,problem,strategy_name,source_count,cleared_count,cleared_ratio,all_cleared,virtual_time_s,average_localize_clear_time_s,total_distance_m,measure_count,clear_count,failed_clear_count,channel_switch_count,strategy_completed,wall_time_s,analytic_clear_terminal_enabled,tail_terminal_linkage_enabled,analytic_plan_generated,analytic_plan_certified,analytic_plan_selected,analytic_plan_fallbacks,analytic_estimated_saving_s,tail_terminal_linkage_evaluations,tail_terminal_analytic_choices,tail_terminal_estimated_cost_reduction_s
50,Q4,GuaranteedDirectionalQ4Strategy,13,13,1.0,True,7039.067696875511,541.4667459135009,27660.338484377568,240,23,10,212,True,2.735290900018299,True,True,3,3,3,0,943.9867449609512,2,2,1212.7409805957802
51,Q4,GuaranteedDirectionalQ4Strategy,11,11,1.0,True,7218.871419482353,656.2610381347594,25644.357097411776,341,17,6,312,True,2.714007699978538,True,True,1,1,1,0,24.399413303056065,3,3,1040.0273251457381
52,Q4,GuaranteedDirectionalQ4Strategy,12,12,1.0,True,8008.925133564964,667.4104277970804,31249.625667824897,269,49,37,243,True,3.2346256999881007,True,True,6,6,6,0,1747.047742279871,4,4,2015.6944184480406
53,Q4,GuaranteedDirectionalQ4Strategy,14,14,1.0,True,7253.359080147212,518.0970771533723,28331.795400736064,255,19,5,227,True,3.3730509000015445,True,True,6,6,6,0,84.49247923043387,1,1,316.09510773687884
54,Q4,GuaranteedDirectionalQ4Strategy,11,11,1.0,True,7040.455279158068,640.0413890143699,26317.276395790337,290,13,2,266,True,2.6337468000128865,True,True,2,2,2,0,2.7570450976446654,1,1,75.40033172659366
55,Q4,GuaranteedDirectionalQ4Strategy,10,10,1.0,True,6499.408783449252,649.9408783449252,22177.043917246247,338,13,3,315,True,1.9447646000189707,True,True,3,3,3,0,78.90219293378821,0,0,0.0
56,Q4,GuaranteedDirectionalQ4Strategy,16,16,1.0,True,6404.698534590307,400.29365841189417,25853.492672951525,191,26,10,169,True,3.0471015999792144,True,True,4,4,4,0,650.758715103535,1,1,576.7594706231403
57,Q4,GuaranteedDirectionalQ4Strategy,10,10,1.0,True,6735.313174750673,673.5313174750673,24286.565873753363,308,11,1,285,True,1.9412372999940999,True,True,1,1,1,0,3.974761796910439,0,0,0.0
58,Q4,GuaranteedDirectionalQ4Strategy,14,14,1.0,True,7941.203959016382,567.2288542154558,30476.01979508189,264,86,72,240,True,3.0604674000060186,True,True,3,3,2,0,331.65345961033063,2,2,429.8367718788386
59,Q4,GuaranteedDirectionalQ4Strategy,11,11,1.0,True,6963.661777663605,633.0601616057822,25848.30888831802,292,15,4,267,True,2.238348299986683,True,True,3,3,3,0,376.60653258023825,2,2,923.0033064458431
60,Q4,GuaranteedDirectionalQ4Strategy,12,12,1.0,True,6967.510182401298,580.6258485334415,25972.55091200647,288,15,3,264,True,2.2928656000003684,True,True,3,3,3,0,81.85926423251055,0,0,0.0
61,Q4,GuaranteedDirectionalQ4Strategy,13,13,1.0,True,7018.048163762013,539.8498587509241,25395.240818810074,316,13,0,294,True,2.276823799998965,True,True,1,1,1,0,3.0117657855005575,0,0,0.0
62,Q4,GuaranteedDirectionalQ4Strategy,14,14,1.0,True,7577.6116706800285,541.2579764771449,28853.05835340013,292,17,3,268,True,3.009377799986396,True,True,6,6,6,0,641.0798902059055,1,1,605.7853879870852
