seed,problem,strategy_name,source_count,cleared_count,cleared_ratio,all_cleared,virtual_time_s,average_localize_clear_time_s,total_distance_m,measure_count,clear_count,failed_clear_count,channel_switch_count,strategy_completed,wall_time_s,analytic_clear_terminal_enabled,tail_terminal_linkage_enabled,analytic_plan_generated,analytic_plan_certified,analytic_plan_selected,analytic_plan_fallbacks,analytic_estimated_saving_s,tail_terminal_linkage_evaluations,tail_terminal_analytic_choices,tail_terminal_estimated_cost_reduction_s
63,Q4,GuaranteedDirectionalQ4Strategy,13,13,1.0,True,7857.297249594648,604.4074807380498,29531.486247973236,311,30,17,280,True,3.0451845999923535,True,True,6,6,6,0,932.2041154241551,5,5,2120.48383885133
64,Q4,GuaranteedDirectionalQ4Strategy,13,13,1.0,True,7409.952862599622,569.9963740461247,27864.76431299813,278,58,45,247,True,3.6552073000057135,True,True,4,4,4,0,1473.978990108918,3,3,1182.1584455142597
65,Q4,GuaranteedDirectionalQ4Strategy,13,13,1.0,True,7288.783199964029,560.6756307664638,28068.91599982014,269,21,8,241,True,3.048028199991677,True,True,6,6,6,0,154.05479082097105,0,0,0.0
66,Q4,GuaranteedDirectionalQ4Strategy,10,10,1.0,True,7368.010557683417,736.8010557683417,27265.052788417077,307,26,16,282,True,2.2570890999922995,True,True,5,5,5,0,1240.3305491877168,3,3,1798.4976625589788
67,Q4,GuaranteedDirectionalQ4Strategy,10,10,1.0,True,7718.726152931391,771.8726152931391,29058.63076465696,310,17,7,286,True,1.9883526999910828,True,True,3,3,3,0,639.7403805134313,1,1,605.5792419451302
68,Q4,GuaranteedDirectionalQ4Strategy,15,15,1.0,True,7970.155134187685,531.3436756125124,31920.77567093845,250,29,14,219,True,3.5306609999970533,True,True,4,4,4,0,641.7218091686827,3,3,859.3661945548185
69,Q4,GuaranteedDirectionalQ4Strategy,15,15,1.0,True,7925.972530929317,528.3981687286212,32069.862654646593,239,24,9,215,True,3.433117200009292,True,True,4,4,4,0,1257.0349231472578,2,2,1207.6969229064644
70,Q4,GuaranteedDirectionalQ4Strategy,10,10,1.0,True,7326.811993020986,732.6811993020985,27094.05996510494,313,12,2,287,True,2.161888300004648,True,True,3,3,3,0,15.249417884326661,1,1,315.3409685778762
71,Q4,GuaranteedDirectionalQ4Strategy,12,12,1.0,True,7983.882170409466,665.3235142007888,29914.41085204731,312,44,32,285,True,2.8060919000126887,True,True,4,4,4,0,1802.0623036130785,3,3,1205.1016151006274
72,Q4,GuaranteedDirectionalQ4Strategy,10,10,1.0,True,6784.659763485297,678.4659763485297,24333.298817426483,314,13,3,289,True,1.771257299988065,True,True,4,4,4,0,83.84249945642648,0,0,0.0
73,Q4,GuaranteedDirectionalQ4Strategy,12,12,1.0,True,7432.495230243006,619.3746025202505,27777.47615121503,279,67,55,257,True,2.598246500012465,True,True,2,2,2,0,556.1536642747717,1,1,554.0804749824814
74,Q4,GuaranteedDirectionalQ4Strategy,16,16,1.0,True,4521.257003424814,282.57856271405086,17521.285017124075,158,19,3,138,True,3.749688999989303,True,True,2,2,2,0,62.29224237653558,0,0,0.0
75,Q4,GuaranteedDirectionalQ4Strategy,13,13,1.0,True,6784.146377997894,521.8574136921457,25230.731889989478,283,14,1,255,True,3.1763441000075545,True,True,4,4,4,0,48.144284896163384,0,0,0.0
76,Q4,GuaranteedDirectionalQ4Strategy,12,12,1.0,True,6823.124620552206,568.5937183793504,25675.62310276104,268,28,16,240,True,2.7394925999979023,True,True,2,2,2,0,616.7015180626389,1,1,325.5215011131213
77,Q4,GuaranteedDirectionalQ4Strategy,16,16,1.0,True,4249.923144733903,265.62019654586896,17659.615723669514,109,16,0,93,True,3.2410525000013877,True,True,1,1,1,0,1.1064072288781084,0,0,0.0
78,Q4,GuaranteedDirectionalQ4Strategy,16,16,1.0,True,6922.616333301531,432.6635208313457,26008.081666507645,231,109,93,207,True,3.770604099991033,True,True,10,10,10,0,737.6156875372213,2,2,641.7531145958609
79,Q4,GuaranteedDirectionalQ4Strategy,11,11,1.0,True,6774.952320230802,615.9047563846184,25079.761601154012,288,11,0,264,True,2.326702699996531,True,True,1,1,1,0,10.705574629547176,0,0,0.0
80,Q4,GuaranteedDirectionalQ4Strategy,12,12,1.0,True,8074.762408159271,672.896867346606,31118.812040796387,292,35,23,262,True,2.5592767000198364,True,True,8,8,8,0,1555.3584333904444,3,3,1208.971505309757
81,Q4,GuaranteedDirectionalQ4Strategy,14,14,1.0,True,6870.239571900232,490.73139799287367,25846.197859501153,273,21,7,245,True,2.592960200010566,True,True,6,6,6,0,96.64115116860772,0,0,0.0
82,Q4,GuaranteedDirectionalQ4Strategy,11,11,1.0,True,7863.37307655903,714.8520978690027,28701.86538279515,339,31,20,313,True,2.766062700015027,True,True,6,6,6,0,643.1279508605046,2,2,875.7257164123731
83,Q4,GuaranteedDirectionalQ4Strategy,13,13,1.0,True,7703.856469402155,592.6043438001658,28869.282347010754,279,85,72,254,True,3.05333569998038,True,True,5,5,5,0,909.555643349805,2,2,848.30233176594
84,Q4,GuaranteedDirectionalQ4Strategy,15,15,1.0,True,6368.250567335929,424.55003782239527,24726.25283667965,229,15,0,203,True,2.7515024000022095,True,True,1,1,1,0,16.54534613912177,0,0,0.0
85,Q4,GuaranteedDirectionalQ4Strategy,11,11,1.0,True,7406.64020661709,673.330927874281,27893.201033085457,290,29,18,269,True,2.3580094999924768,True,True,5,5,5,0,1123.6081437119788,2,2,1105.5841427152689
86,Q4,GuaranteedDirectionalQ4Strategy,16,16,1.0,True,3926.6987272876895,245.4186704554806,15773.493636438452,118,17,1,99,True,3.889821699995082,True,True,2,2,2,0,18.860121914453774,0,0,0.0
87,Q4,GuaranteedDirectionalQ4Strategy,11,11,1.0,True,7446.193086063315,676.9266441875741,27425.96543031658,317,20,9,294,True,2.2483796999731567,True,True,3,3,3,0,71.8131388329987,0,0,0.0
88,Q4,GuaranteedDirectionalQ4Strategy,13,13,1.0,True,7849.248038102409,603.7883106232622,30341.240190512017,282,31,18,252,True,2.895805600011954,True,True,7,7,6,0,962.4811166727349,3,3,1308.273065437268
89,Q4,GuaranteedDirectionalQ4Strategy,10,10,1.0,True,6897.754747886831,689.7754747886831,24583.773739434164,325,12,2,300,True,1.9467884000041522,True,True,3,3,3,0,33.090361423414244,1,1,232.16553076142094
90,Q4,GuaranteedDirectionalQ4Strategy,11,11,1.0,True,7836.8254791506015,712.438679922782,28359.12739575308,321,81,70,295,True,2.691663300007349,True,True,4,4,4,0,382.0963917174151,1,1,320.28816211242395
91,Q4,GuaranteedDirectionalQ4Strategy,10,10,1.0,True,7331.07957151008,733.107957151008,26800.397857550408,322,15,5,296,True,2.0534871999989264,True,True,4,4,4,0,66.64696636974728,0,0,0.0
92,Q4,GuaranteedDirectionalQ4Strategy,13,13,1.0,True,7043.8301349283665,541.8330873021821,26744.15067464183,275,15,2,249,True,3.08727980000549,True,True,3,3,3,0,37.41002275372923,0,0,0.0
93,Q4,GuaranteedDirectionalQ4Strategy,16,16,1.0,True,6998.863845858193,437.42899036613704,28479.31922929097,194,45,29,166,True,3.5582723999978043,True,True,5,5,5,0,1236.1584971244597,2,2,1206.9640095524783
94,Q4,GuaranteedDirectionalQ4Strategy,14,14,1.0,True,6443.440936514238,460.24578117958845,24922.204682571213,236,14,0,209,True,3.262776000017766,True,True,3,3,3,0,43.099084213678736,1,1,325.59354085273037
95,Q4,GuaranteedDirectionalQ4Strategy,16,16,1.0,True,5643.278206090739,352.7048878806712,22561.391030453728,174,25,9,154,True,3.8592258999997284,True,True,2,2,2,0,348.3369489706489,2,2,624.5052862939793
96,Q4,GuaranteedDirectionalQ4Strategy,12,12,1.0,True,6113.654244702607,509.4711870585506,22398.271223513035,266,13,1,241,True,2.3181033000000753,True,True,1,1,1,0,2.6635795787321896,0,0,0.0
97,Q4,GuaranteedDirectionalQ4Strategy,11,11,1.0,True,7254.802957289313,659.5275415717557,27494.014786446565,281,25,14,254,True,2.198242799990112,True,True,2,2,2,0,590.9971124377122,1,1,561.4253245860007
98,Q4,GuaranteedDirectionalQ4Strategy,12,12,1.0,True,6372.058245136116,531.004853761343,23705.291225680583,266,12,0,241,True,2.6406618999899365,True,True,1,1,1,0,10.029779522139265,0,0,0.0
99,Q4,GuaranteedDirectionalQ4Strategy,13,13,1.0,True,8456.943893452355,650.5341456501811,32339.719467261777,290,83,70,264,True,3.2264983000059146,True,True,5,5,5,0,932.8707948768434,2,2,875.2540715202626
