seed,problem,strategy_name,source_count,cleared_count,cleared_ratio,all_cleared,virtual_time_s,average_localize_clear_time_s,total_distance_m,measure_count,clear_count,failed_clear_count,channel_switch_count,strategy_completed,wall_time_s
0,Q4,GuaranteedDirectionalQ4Strategy,16,16,1.0,True,6269.101864801884,391.8188665501178,24590.509324009472,186,73,57,170,True,2.688732999988133
1,Q4,GuaranteedDirectionalQ4Strategy,11,11,1.0,True,6650.119519729815,604.5563199754378,24635.597598649078,282,12,1,255,True,2.834079699998256
2,Q4,GuaranteedDirectionalQ4Strategy,16,16,1.0,True,5987.276978868267,374.2048111792667,23036.384894341347,213,31,15,190,True,3.701355199998943
3,Q4,GuaranteedDirectionalQ4Strategy,11,11,1.0,True,8004.95264947224,727.72296813384,29849.763247361192,310,60,49,283,True,2.760341700006393
4,Q4,GuaranteedDirectionalQ4Strategy,11,11,1.0,True,6386.240036209466,580.5672760190423,23071.20018104733,291,11,0,262,True,2.873924799991073
5,Q4,GuaranteedDirectionalQ4Strategy,14,14,1.0,True,7370.713676851565,526.4795483465404,29533.56838425784,231,26,12,203,True,3.326095299998997
6,Q4,GuaranteedDirectionalQ4Strategy,16,16,1.0,True,7994.6399927627735,499.66499954767335,30618.199963813975,249,124,108,222,True,3.4597489000007045
7,Q4,GuaranteedDirectionalQ4Strategy,12,12,1.0,True,7842.192173415581,653.5160144512985,30365.96086707791,282,26,14,257,True,2.8908134999946924
8,Q4,GuaranteedDirectionalQ4Strategy,11,11,1.0,True,6202.157225010166,563.8324750009242,23025.78612505082,260,13,2,236,True,2.3142028999864124
9,Q4,GuaranteedDirectionalQ4Strategy,13,13,1.0,True,8466.88419722083,651.2987844016023,32729.420986104156,306,28,15,281,True,2.6586344000097597
10,Q4,GuaranteedDirectionalQ4Strategy,14,14,1.0,True,7261.254064498804,518.6610046070574,27126.27032249404,251,110,96,223,True,3.703045200003544
11,Q4,GuaranteedDirectionalQ4Strategy,13,13,1.0,True,7898.869335223391,607.6053334787224,30519.346676117006,257,85,72,229,True,3.0274092000036035
12,Q4,GuaranteedDirectionalQ4Strategy,13,13,1.0,True,9247.976286730727,711.382791286979,34664.88143365372,301,170,157,274,True,3.047294799995143
13,Q4,GuaranteedDirectionalQ4Strategy,12,12,1.0,True,7042.808891772508,586.9007409810423,26479.044458862536,281,20,8,258,True,3.0978682999993907
14,Q4,GuaranteedDirectionalQ4Strategy,10,10,1.0,True,7616.51481778265,761.6514817782651,26497.574088913334,333,108,98,308,True,2.195206699994742
15,Q4,GuaranteedDirectionalQ4Strategy,11,11,1.0,True,6886.233853871143,626.0212594428311,24471.16926935572,325,15,4,300,True,2.813661599997431
16,Q4,GuaranteedDirectionalQ4Strategy,12,12,1.0,True,6772.7561581464,564.3963465122,25638.780790732006,268,13,1,242,True,3.0387386999937007
17,Q4,GuaranteedDirectionalQ4Strategy,14,14,1.0,True,7699.22455248761,549.9446108919722,29416.1227624381,273,58,44,249,True,3.474993700001505
18,Q4,GuaranteedDirectionalQ4Strategy,11,11,1.0,True,7008.817927170487,637.1652661064079,24869.089635852448,328,24,13,301,True,2.6139525000035064
19,Q4,GuaranteedDirectionalQ4Strategy,15,15,1.0,True,7270.889473793991,484.7259649195994,28269.447368970043,215,108,93,188,True,3.6047535999969114
20,Q4,GuaranteedDirectionalQ4Strategy,15,15,1.0,True,7135.603413045009,475.7068942030006,28138.017065225104,218,66,51,190,True,3.6007331000000704
21,Q4,GuaranteedDirectionalQ4Strategy,11,11,1.0,True,8177.406249982387,743.400568180217,30517.031249911994,309,74,63,285,True,2.2253649000049336
22,Q4,GuaranteedDirectionalQ4Strategy,11,11,1.0,True,6988.47989543572,635.31635413052,25747.399477178653,277,61,50,249,True,3.1391207999986364
23,Q4,GuaranteedDirectionalQ4Strategy,16,16,1.0,True,7199.252885838297,449.95330536489354,28186.264429191557,207,103,87,186,True,3.6040695999981835
24,Q4,GuaranteedDirectionalQ4Strategy,15,15,1.0,True,8597.45898118897,573.1639320792646,33222.294905944684,271,107,92,247,True,3.009666099998867
25,Q4,GuaranteedDirectionalQ4Strategy,13,13,1.0,True,7345.376349158149,565.0289499352423,28151.88174579078,255,61,48,231,True,2.8228397999919252
26,Q4,GuaranteedDirectionalQ4Strategy,15,15,1.0,True,7920.798118395496,528.0532078930331,32398.990591977523,209,62,47,180,True,3.8836243000114337
27,Q4,GuaranteedDirectionalQ4Strategy,15,15,1.0,True,7611.299730694338,507.4199820462892,31001.498653471714,198,74,59,169,True,3.774934500004747
28,Q4,GuaranteedDirectionalQ4Strategy,10,10,1.0,True,7468.177151488118,746.8177151488119,27405.88575744062,316,32,22,291,True,2.015764900002978
29,Q4,GuaranteedDirectionalQ4Strategy,14,14,1.0,True,7560.7304141689665,540.0521724406404,27718.652070844884,285,101,87,261,True,3.155171499995049
