seed,problem,strategy_name,source_count,cleared_count,cleared_ratio,all_cleared,virtual_time_s,average_localize_clear_time_s,total_distance_m,measure_count,clear_count,failed_clear_count,channel_switch_count,strategy_completed,wall_time_s,analytic_plan_generated,analytic_plan_certified,analytic_plan_selected,analytic_plan_fallbacks,analytic_estimated_saving_s
50,Q4,GuaranteedDirectionalQ4Strategy,13,13,1.0,True,7045.172110201451,541.9363161693424,27690.860551007274,240,23,10,212,True,2.7884172000049148,0,0,0,0,0.0
51,Q4,GuaranteedDirectionalQ4Strategy,11,11,1.0,True,7221.855663886768,656.5323330806152,25644.27831943384,341,18,7,312,True,2.8260298000241164,0,0,0,0,0.0
52,Q4,GuaranteedDirectionalQ4Strategy,12,12,1.0,True,8591.178961659547,715.9315801382955,33080.894808297846,269,121,109,243,True,3.4111709000135306,0,0,0,0,0.0
53,Q4,GuaranteedDirectionalQ4Strategy,14,14,1.0,True,7250.880776285475,517.9200554489624,28334.403881427384,255,18,4,227,True,3.5543192999903113,0,0,0,0,0.0
54,Q4,GuaranteedDirectionalQ4Strategy,11,11,1.0,True,7039.937566314219,639.9943242103835,26314.687831571096,290,13,2,266,True,2.858197800000198,0,0,0,0,0.0
55,Q4,GuaranteedDirectionalQ4Strategy,10,10,1.0,True,6544.696849627618,654.4696849627618,22328.484248138087,338,18,8,315,True,2.0983743999968283,0,0,0,0,0.0
56,Q4,GuaranteedDirectionalQ4Strategy,16,16,1.0,True,6589.247368730003,411.82796054562516,26461.236843650033,191,47,31,169,True,3.366022800008068,0,0,0,0,0.0
57,Q4,GuaranteedDirectionalQ4Strategy,10,10,1.0,True,6732.304794981422,673.2304794981421,24286.523974907108,308,10,0,285,True,2.104145099991001,0,0,0,0,0.0
58,Q4,GuaranteedDirectionalQ4Strategy,14,14,1.0,True,8976.029255486521,641.1449468204657,34550.14627743274,265,158,144,239,True,3.38981949997833,0,0,0,0,0.0
59,Q4,GuaranteedDirectionalQ4Strategy,11,11,1.0,True,6970.824153560977,633.7112866873615,25869.120767804885,292,16,5,267,True,2.310168700001668,0,0,0,0,0.0
60,Q4,GuaranteedDirectionalQ4Strategy,12,12,1.0,True,6965.100775645653,580.4250646371378,25975.503878228254,288,14,2,264,True,2.3684692999813706,0,0,0,0,0.0
61,Q4,GuaranteedDirectionalQ4Strategy,13,13,1.0,True,7020.327271217353,540.0251747090272,25391.636356086776,316,14,1,294,True,2.3530768000055104,0,0,0,0,0.0
62,Q4,GuaranteedDirectionalQ4Strategy,14,14,1.0,True,7576.241601870356,541.1601144193112,28831.208009351783,292,18,4,268,True,3.083239200001117,0,0,0,0,0.0
63,Q4,GuaranteedDirectionalQ4Strategy,13,13,1.0,True,7854.1348180887535,604.164216776058,29515.674090443794,311,30,17,280,True,3.1103409999923315,0,0,0,0,0.0
64,Q4,GuaranteedDirectionalQ4Strategy,13,13,1.0,True,7496.963203339482,576.6894771799601,28164.81601669744,278,67,54,247,True,3.7845091999915894,0,0,0,0,0.0
65,Q4,GuaranteedDirectionalQ4Strategy,13,13,1.0,True,7349.206693838683,565.3235918337449,28296.033469193415,269,26,13,241,True,3.1149053999979515,0,0,0,0,0.0
66,Q4,GuaranteedDirectionalQ4Strategy,10,10,1.0,True,7094.649116701466,709.4649116701465,25843.245583507338,309,26,16,283,True,2.251406399998814,0,0,0,0,0.0
67,Q4,GuaranteedDirectionalQ4Strategy,10,10,1.0,True,7720.6542839560225,772.0654283956022,29038.271419780107,310,19,9,286,True,2.020146599999862,0,0,0,0,0.0
68,Q4,GuaranteedDirectionalQ4Strategy,15,15,1.0,True,8677.430967208287,578.4953978138858,34167.15483604152,250,115,100,219,True,3.627253100014059,0,0,0,0,0.0
69,Q4,GuaranteedDirectionalQ4Strategy,15,15,1.0,True,7944.427827365479,529.6285218243653,32147.139136827394,239,25,10,215,True,3.5264899999892805,0,0,0,0,0.0
70,Q4,GuaranteedDirectionalQ4Strategy,10,10,1.0,True,7325.937564818395,732.5937564818395,27089.687824091976,313,12,2,287,True,2.220824399992125,0,0,0,0,0.0
71,Q4,GuaranteedDirectionalQ4Strategy,12,12,1.0,True,7982.5147879273045,665.2095656606087,29892.573939636553,312,45,33,285,True,2.902671099989675,0,0,0,0,0.0
72,Q4,GuaranteedDirectionalQ4Strategy,10,10,1.0,True,6795.608530429877,679.5608530429877,24388.042652149383,314,13,3,289,True,1.825128800002858,0,0,0,0,0.0
73,Q4,GuaranteedDirectionalQ4Strategy,12,12,1.0,True,7983.024944708604,665.2520787257171,30065.124723543107,279,98,86,257,True,2.6503479999955744,0,0,0,0,0.0
74,Q4,GuaranteedDirectionalQ4Strategy,16,16,1.0,True,4526.366907172304,282.897931698269,17546.834535861533,158,19,3,138,True,3.818686999991769,0,0,0,0,0.0
75,Q4,GuaranteedDirectionalQ4Strategy,13,13,1.0,True,6787.889828127027,522.1453713943866,25234.44914063514,283,15,2,255,True,3.2123644999810494,0,0,0,0,0.0
76,Q4,GuaranteedDirectionalQ4Strategy,12,12,1.0,True,6822.2292632692515,568.5191052724376,25656.14631634626,268,29,17,240,True,2.8137065999908373,0,0,0,0,0.0
77,Q4,GuaranteedDirectionalQ4Strategy,16,16,1.0,True,4251.3950496198295,265.71219060123934,17666.97524809915,109,16,0,93,True,3.2957629000011366,0,0,0,0,0.0
78,Q4,GuaranteedDirectionalQ4Strategy,16,16,1.0,True,6749.097903604792,421.8186189752995,25500.489518024024,231,85,69,207,True,3.80306949999067,0,0,0,0,0.0
