seed,problem,strategy_name,source_count,cleared_count,cleared_ratio,all_cleared,virtual_time_s,average_localize_clear_time_s,total_distance_m,measure_count,clear_count,failed_clear_count,channel_switch_count,strategy_completed,wall_time_s,analytic_plan_generated,analytic_plan_certified,analytic_plan_selected,analytic_plan_fallbacks,analytic_estimated_saving_s
0,Q4,GuaranteedDirectionalQ4Strategy,16,16,1.0,True,6070.291586603632,379.393224162727,24141.457933018173,187,35,19,170,True,3.1337184000003617,0,0,0,0,0.0
1,Q4,GuaranteedDirectionalQ4Strategy,11,11,1.0,True,6650.119519729815,604.5563199754378,24635.597598649078,282,12,1,255,True,2.6228186000080314,0,0,0,0,0.0
2,Q4,GuaranteedDirectionalQ4Strategy,16,16,1.0,True,5987.276978868267,374.2048111792667,23036.384894341347,213,31,15,190,True,3.6700405000010505,0,0,0,0,0.0
3,Q4,GuaranteedDirectionalQ4Strategy,11,11,1.0,True,7829.440719856239,711.767338168749,29382.203599281194,311,31,20,283,True,2.7490151000092737,0,0,0,0,0.0
4,Q4,GuaranteedDirectionalQ4Strategy,11,11,1.0,True,6386.240036209466,580.5672760190423,23071.20018104733,291,11,0,262,True,2.5831075999885798,0,0,0,0,0.0
5,Q4,GuaranteedDirectionalQ4Strategy,14,14,1.0,True,7370.713676851565,526.4795483465404,29533.56838425784,231,26,12,203,True,3.5571477999910712,0,0,0,0,0.0
6,Q4,GuaranteedDirectionalQ4Strategy,16,16,1.0,True,7994.6399927627735,499.66499954767335,30618.199963813975,249,124,108,222,True,3.5822249999910127,0,0,0,0,0.0
7,Q4,GuaranteedDirectionalQ4Strategy,12,12,1.0,True,7842.192173415581,653.5160144512985,30365.96086707791,282,26,14,257,True,2.747266499995021,0,0,0,0,0.0
8,Q4,GuaranteedDirectionalQ4Strategy,11,11,1.0,True,6202.157225010166,563.8324750009242,23025.78612505082,260,13,2,236,True,2.084087900002487,0,0,0,0,0.0
9,Q4,GuaranteedDirectionalQ4Strategy,13,13,1.0,True,8466.88419722083,651.2987844016023,32729.420986104156,306,28,15,281,True,2.362737199990079,0,0,0,0,0.0
10,Q4,GuaranteedDirectionalQ4Strategy,14,14,1.0,True,7261.254064498804,518.6610046070574,27126.27032249404,251,110,96,223,True,3.5145828999811783,0,0,0,0,0.0
11,Q4,GuaranteedDirectionalQ4Strategy,13,13,1.0,True,8144.704841627052,626.5157570482347,31723.524208135306,258,85,72,229,True,3.3829882999998517,0,0,0,0,0.0
