seed,problem,strategy_name,source_count,cleared_count,cleared_ratio,all_cleared,virtual_time_s,average_localize_clear_time_s,total_distance_m,measure_count,clear_count,failed_clear_count,channel_switch_count,strategy_completed,wall_time_s
0,Q3,GuaranteedRollingQ3Strategy,16,16,1.0,True,3742.759776735597,233.9224860459748,15533.798883677973,96,16,0,76,True,4.453887599999689
1,Q3,GuaranteedRollingQ3Strategy,11,11,1.0,True,3500.237447145704,318.20340428597314,13981.187235728525,110,11,0,99,True,2.4738357999999607
2,Q3,GuaranteedRollingQ3Strategy,16,16,1.0,True,3413.283980406597,213.33024877541231,14166.419902032985,86,16,0,70,True,3.8736333999995622
3,Q3,GuaranteedRollingQ3Strategy,11,11,1.0,True,3263.3557606792083,296.66870551629165,12616.778803396033,116,11,0,105,True,2.6996031999997285
4,Q3,GuaranteedRollingQ3Strategy,11,11,1.0,True,3178.886983857855,288.9897258052595,12499.43491928927,106,11,0,94,True,2.733818500000325
5,Q3,GuaranteedRollingQ3Strategy,14,14,1.0,True,3573.7999980391114,255.2714284313651,14543.999990195562,101,14,0,90,True,3.0518716000001405
6,Q3,GuaranteedRollingQ3Strategy,16,16,1.0,True,3385.2752633011423,211.5797039563214,14276.376316505706,78,16,0,60,True,3.9105062000003272
7,Q3,GuaranteedRollingQ3Strategy,12,12,1.0,True,3576.84484770525,298.0704039754375,14294.224238526245,111,12,0,103,True,2.2639366000003065
8,Q3,GuaranteedRollingQ3Strategy,11,11,1.0,True,3005.4446748206474,273.2222431655134,11532.22337410324,109,11,0,99,True,2.5485781000002135
9,Q3,GuaranteedRollingQ3Strategy,13,13,1.0,True,3671.902705317753,282.45405425521176,14549.513526588766,118,13,0,107,True,2.558437900000172
10,Q3,GuaranteedRollingQ3Strategy,14,14,1.0,True,2879.3081195972895,205.66486568552068,11516.540597986446,86,14,0,76,True,2.900934899999811
11,Q3,GuaranteedRollingQ3Strategy,13,13,1.0,True,3323.774466514559,255.6749589626584,13133.872332572795,107,13,0,97,True,2.515370399999938
12,Q3,GuaranteedRollingQ3Strategy,13,13,1.0,True,3325.975726074017,255.84428662107823,13594.87863037009,92,13,0,82,True,2.7787397999995846
13,Q3,GuaranteedRollingQ3Strategy,12,12,1.0,True,3748.8957344799696,312.4079778733308,15364.478672399846,105,12,0,91,True,3.0385823000001437
14,Q3,GuaranteedRollingQ3Strategy,10,10,1.0,True,3045.0799870954515,304.5079987095452,11535.399935477259,117,10,0,103,True,2.250143300000218
15,Q3,GuaranteedRollingQ3Strategy,11,11,1.0,True,2955.404509486958,268.6731372260871,11437.022547434792,104,11,0,93,True,2.1707290999997895
16,Q3,GuaranteedRollingQ3Strategy,12,12,1.0,True,3070.5950768314824,255.8829230692902,12317.975384157411,93,12,0,82,True,2.340763600000173
17,Q3,GuaranteedRollingQ3Strategy,14,14,1.0,True,3656.4218522842475,261.17298944887483,14687.109261421228,111,14,0,94,True,3.6180099999996855
18,Q3,GuaranteedRollingQ3Strategy,11,11,1.0,True,3011.8861100133536,273.80782818303214,11204.430550066778,121,11,0,111,True,2.3862896000000546
19,Q3,GuaranteedRollingQ3Strategy,15,15,1.0,True,3503.763656236682,233.58424374911212,14503.81828118341,90,15,0,78,True,3.268673700000363
20,Q3,GuaranteedRollingQ3Strategy,15,15,1.0,True,3497.408547123206,233.16056980821375,13967.04273561603,107,15,0,94,True,3.4057372000002033
21,Q3,GuaranteedRollingQ3Strategy,11,11,1.0,True,3453.341870721231,313.94017006556646,13781.709353606147,109,11,0,97,True,2.5646388999998635
